Id,Author Name,Comments Text,Video Time,Message Time,Author Channel URL
ChwKGkNLYS1oLW04eTVRREZYLVc1UWNkU3JrVTB3,@mariatavares5006,buenas tardes Lic HUMBERTUS ✅ 1,-,21/5/2026 16:54,https://www.youtube.com/channel/UCb6X3nJvCHdf5qK28xqdRzw
ChwKGkNQT09rX0s4eTVRREZVdXF3Z0VkM3U4bDdB,@griseldaserpajudat7955,"Real, buenas tardes en espera del inicio del programa.",-,21/5/2026 16:55,https://www.youtube.com/channel/UCXpdM0yPGiJ0FoLiacZo-IQ
ChwKGkNKUG51UEs4eTVRREZkLXd3Z0VkYWdNZ2F3,@amairanyditsa,atentos y listos para el programa 🙋🏻‍♀✅,-,21/5/2026 16:55,https://www.youtube.com/channel/UCQeUq4qfZhROGSxq1vkAhkQ
ChwKGkNPRDN3X084eTVRREZjcVM1UWNkcnBBd2RB,@espinosakeymolenwendy6022,Vr. Buenas tardes presente para el inicio del programa 😊,-,21/5/2026 16:55,https://www.youtube.com/channel/UCgUyUMKw5CQc0EkHytmfEvQ
ChwKGkNQbTg1dmk4eTVRREZZaGlFZ0VkV0ZjVnRR,@griseldaserpajudat7955,"Real, FMDVD presente",-,21/5/2026 16:55,https://www.youtube.com/channel/UCXpdM0yPGiJ0FoLiacZo-IQ
ChwKGkNKV0xuZnU4eTVRREZXRkdYZ01kVEk0N2x3,@margaritagomez6539,"Confirmo Asistencia, nos escuchamosxen un ratito 💜💜💜",-,21/5/2026 16:55,https://www.youtube.com/channel/UCmj3AxD4y1_z-osqC6IwXUQ
ChwKGkNQdTB1UHU4eTVRREZUek00d2NkQlh3MGJ3,@marioaguirre8126,#2✨🌹 EL FRENTE MEXIQUENSE EN DEFENSA PARA UNA VIVIENDA DIGNA Y DECOROSA GANÓ JUICIOS CIVILES Y MERCANTILES Y A LAS BANCAS DE DESARROLLO DE SOCIEDAD HIPOTECARIA FEDERAL.,-,21/5/2026 16:55,https://www.youtube.com/channel/UCd0iBK38YszB9f5pRiHehAg
ChwKGkNKcmk3SUs5eTVRREZkS2p3Z0VkUVhNd2JB,@SandraEFlores,💜💜 #32 presente en HUMBERTUS PRISIONERO DE CONCIENCIA,-,21/5/2026 16:55,https://www.youtube.com/channel/UCX9oovwiX-2hMoTVC_NV1vA
ChwKGkNOWFlrWVM5eTVRREZadFNYZ01kZVZZWW9R,@IgnacioQuintanar-m3s,VR buenas tardes ,-,21/5/2026 16:55,https://www.youtube.com/channel/UC5WIKsAcj8iT0WNR4u6HGBg
ChwKGkNJZWFwWVM5eTVRREZmck1GZ2tkVjJzVVlB,@marialeticiasilistavera3475,PRESENTE 👍✅✅,-,21/5/2026 16:55,https://www.youtube.com/channel/UCZbJ9z5WURkhPeSQQf25v8Q
ChwKGkNObTA3b2k5eTVRREZTeGZFZ0VkTGY0Nlpn,@griseldaserpajudat7955,"Real, FMDVD por una vivienda Digna y Decorosa 👏",-,21/5/2026 16:56,https://www.youtube.com/channel/UCXpdM0yPGiJ0FoLiacZo-IQ
ChwKGkNQbVdvb205eTVRREZUU3d3Z0VkMFZjb1JR,@amairanyditsa,en espera del programa,-,21/5/2026 16:56,https://www.youtube.com/channel/UCQeUq4qfZhROGSxq1vkAhkQ
ChwKGkNJbUtxb3E5eTVRREZlQ0o1UWNkU2drQW13,@isabelruiz2689,"buenas tardes!en espera, frente mexiquense!🤝",-,21/5/2026 16:56,https://www.youtube.com/channel/UCJ_-GDewCHthomOa0odYHxA
ChwKGkNOZnlrSkc5eTVRREZaaVA1UWNkTm1Falhn,@PedroHernándezRosas-o1u,confirmo mi asistencia para el programa de oy con José Hubertus Pérez Espinoza presente Otumba,-,21/5/2026 16:56,https://www.youtube.com/channel/UCm2LEKVDFQZ5CSZY430t8rg
ChwKGkNJbVN0NW05eTVRREZZMFNyUVlkRy1jdHlB,@espinosakeymolenwendy6022,face-blue-smilinghand-pink-wavingface-blue-smilinghand-pink-wavingface-blue-smilinghand-pink-waving,-,21/5/2026 16:56,https://www.youtube.com/channel/UCgUyUMKw5CQc0EkHytmfEvQ
ChwKGkNOUC1vNXU5eTVRREZSU2t3Z0VkSWtZM3NB,@griseldaserpajudat7955,"Real, atenta para el tema de hoy 👏",-,21/5/2026 16:56,https://www.youtube.com/channel/UCXpdM0yPGiJ0FoLiacZo-IQ
ChwKGkNKM2FfS0M5eTVRREZkTVdyUVlkS2Z3cFJR,@minervadelarosa5308,ALOHA PRESUNCIÓN 🎩🙏🏻,-,21/5/2026 16:56,https://www.youtube.com/channel/UCjZELYDOBVTBJFBOdTTz9gg
ChwKGkNJT0Y4cUc5eTVRREZXLXl3Z0VkSGVrNVFB,@Susana-w7j9y,Muy buenas tardes p esperando el programa a sus órdenes 50 Texcoco 💜,-,21/5/2026 16:56,https://www.youtube.com/channel/UCFexy5CrTS9ned5yTpbLF5g
ChwKGkNPLXNzNm05eTVRREZUM0h3Z1FkaVV3a3Bn,@teammachuca2524,CONFIRMO ASISTENCIA PARA EL PROGRAMA DE HOY.#59✅✅✅✅✅✅,-,21/5/2026 16:57,https://www.youtube.com/channel/UCx4UI_kBA66hnWJwtoAsaAw
ChwKGkNQXzYxYkM5eTVRREZiRGVjZ2tkbUNjc3lR,@yasigarcia8660,está esperando el mejor programa de análisis en defensa de los derechos humanos para los falsos culpables 💞🌹✨💞🌹✨,-,21/5/2026 16:57,https://www.youtube.com/channel/UCwcm28DtKLjUSEiDP0Zp0Zg
ChwKGkNMTzJzN1c5eTVRREZZaGlFZ0VkV0ZjVnRR,@guillermoorozco8174,en espera,-,21/5/2026 16:57,https://www.youtube.com/channel/UC_XL9IVVV9O-NflBNZwFA8Q
ChwKGkNQZWd6TG05eTVRREZabUM1UWNkLUxNWS1n,@Silviams-om1yp,Buenas tardes a todas.,-,21/5/2026 16:57,https://www.youtube.com/channel/UCntCyTeLOl5nPjVRereQwhA
ChwKGkNNcXZfTDY5eTVRREZmck1GZ2tkVjJzVVlB,@CruzJaramillo-od6wx,confirmo mi asistencia al gran programa de prisionero de consiensia,-,21/5/2026 16:57,https://www.youtube.com/channel/UCJtHIkYUP9pggX-unJ55qEA
ChwKGkNOZWN4TUc5eTVRREZadmV3Z1FkblBZMVpn,@Yessyp19Garcia,en espera de el programa ✅#57,-,21/5/2026 16:58,https://www.youtube.com/channel/UClYzRFJEcy7CLvofFAmom9g
ChwKGkNJRHFyc1c5eTVRREZSQ3l3Z0VkdGU4dUJ3,@amairanyditsa,listos para el programa 🙋🏻‍♀,-,21/5/2026 16:58,https://www.youtube.com/channel/UCQeUq4qfZhROGSxq1vkAhkQ
ChwKGkNPejk1TWk5eTVRREZSR1o1UWNkQWMwT19n,@ManuelAvila-hy7wo,saludos licenciado. José Humbertus Pérez Espinoza ya en espera de una gran transmisión ✅✅✅45✅✅✅,-,21/5/2026 16:58,https://www.youtube.com/channel/UCN9Xk-N3QGYJqLHk-GTW1JA
ChwKGkNMNkdfc2k5eTVRREZaN0N3Z1FkQWo0M0J3,@AdrianaGonzalez-vu1it,confirmo mi asistencia al programa#46💜💜💜,-,21/5/2026 16:58,https://www.youtube.com/channel/UC-YOk_JGGbU89aOW3-4DY4A
ChwKGkNQLU45c205eTVRREZTTEN3Z1FkYWpVWnlB,@doloresgrande8472,buenas tardes lic José Hubertus Pérez Espinoza presente,-,21/5/2026 16:58,https://www.youtube.com/channel/UCfgfHYn0_PGPKAD5_5Nsghg
ChwKGkNPQ0w2Tks5eTVRREZSQ3l3Z0VkdGU4dUJ3,@AntoniaMoralesVaga,presente vamos con todo menos sin miedo #28 ♥♥,-,21/5/2026 16:58,https://www.youtube.com/channel/UCYDfxXzs36W6pI_NmCXbAaA
